model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,42,6.0,26,0.035009233640962256,0.9735449735449735,0.000140581422070603
TemporalResNet18Small,42,6.0,27,0.029219987998230328,0.9708994708994709,0.00013120001496535436
TemporalResNet18Small,42,6.0,28,0.035602233893073654,0.9708994708994709,0.0001218928028121413
TemporalResNet18Small,42,6.0,29,0.03231688403919928,0.9708994708994709,0.00011269651692527177
TemporalResNet18Small,42,6.0,30,0.03032108488097198,0.9708994708994709,0.00010364745084375793
TemporalResNet18Small,42,8.0,1,0.8836248052470824,0.23015873015873015,0.0002997040092642407
TemporalResNet18Small,42,8.0,2,0.28230972960591316,0.9126984126984127,0.0002988172051971717
TemporalResNet18Small,42,8.0,3,0.18114712856271686,0.955026455026455,0.0002973430876093033
TemporalResNet18Small,42,8.0,4,0.15936196595430374,0.9497354497354498,0.00029528747416929463
TemporalResNet18Small,42,8.0,5,0.09845198132097721,0.9391534391534392,0.00029265847744427303
TemporalResNet18Small,42,8.0,6,0.11300648179124384,0.9523809523809523,0.0002894664728832377
TemporalResNet18Small,42,8.0,7,0.07027508811477352,0.9232804232804233,0.000285724057869903
TemporalResNet18Small,42,8.0,8,0.06723025589085677,0.9338624338624338,0.00028144600200657956
TemporalResNet18Small,42,8.0,9,0.0851192001855987,0.9761904761904762,0.0002766491888253023
TemporalResNet18Small,42,8.0,10,0.07123899262617617,0.9603174603174603,0.00027135254915624217
TemporalResNet18Small,42,8.0,11,0.057352551875416845,0.955026455026455,0.0002655769864163684
TemporalResNet18Small,42,8.0,12,0.049681070260703564,0.9735449735449735,0.0002593452941132117
TemporalResNet18Small,42,8.0,13,0.03766302635160494,0.9603174603174603,0.0002526820658893033
TemporalResNet18Small,42,8.0,14,0.049866003901971614,0.9708994708994709,0.0002456135984623034
TemporalResNet18Small,42,8.0,15,0.04134564277003793,0.9735449735449735,0.00023816778784387096
TemporalResNet18Small,42,8.0,16,0.041391217396320665,0.9629629629629629,0.00023037401924684944
TemporalResNet18Small,42,8.0,17,0.034399213464519775,0.9735449735449735,0.00022226305111525726
TemporalResNet18Small,42,8.0,18,0.03407510574427707,0.9656084656084656,0.00021386689373476087
